0xfffe7a,light yellow
0x5ca904,leaf green
0xd8dcd6,light grey
0xa5a502,puke
0xd648d7,pinkish purple
0x047495,sea blue
0xb790d4,pale purple
0x5b7c99,slate blue
0x607c8e,blue grey
0x0b4008,hunter green
0xed0dd9,fuchsia
0x8c000f,crimson
0xffff84,pale yellow
0xbf9005,ochre
0xd2bd0a,mustard yellow
0xff474c,light red
0x0485d1,cerulean
0xffcfdc,pale pink
0x040273,deep blue
0xa83c09,rust
0x90e4c1,light teal
0x516572,slate
0xfac205,goldenrod
0xd5b60a,dark yellow
0x363737,dark grey
0x4b5d16,army green
0x6b8ba4,grey blue
0x80f9ad,seafoam
0xa57e52,puce
0xa9f971,spring green
0xc65102,dark orange
0xe2ca76,sand
0xb0ff9d,pastel green
0x9ffeb0,mint
0xfdaa48,light orange
0xfe01b1,bright pink
0xc1f80a,chartreuse
0x36013f,deep purple
0x341c02,dark brown
0xb9a281,taupe
0x8eab12,pea green
0x9aae07,puke green
0x02ab2e,kelly green
0x7af9ab,seafoam green
0x137e6d,blue green
0xaaa662,khaki
0x610023,burgundy
0x014d4e,dark teal
0x8f1402,brick red
0x4b006e,royal purple
0x580f41,plum
0x8fff9f,mint green
0xdbb40c,gold
0xa2cffe,baby blue
0xc0fb2d,yellow green
0xbe03fd,bright purple
0x840000,dark red
0xd0fefe,pale blue
0x3f9b0b,grass green
0x01153e,navy
0x04d8b2,aquamarine
0xc04e01,burnt orange
0x0cff0c,neon green
0x0165fc,bright blue
0xcf6275,rose
0xffd1df,light pink
0xceb301,mustard
0x380282,indigo
0xaaff32,lime
0x53fca1,sea green
0x8e82fe,periwinkle
0xcb416b,dark pink
0x677a04,olive green
0xffb07c,peach
0xc7fdb5,pale green
0xad8150,light brown
0xff028d,hot pink
0x000000,black
0xcea2fd,lilac
0x001146,navy blue
0x0504aa,royal blue
0xe6daa6,beige
0xff796c,salmon
0x6e750e,olive
0x650021,maroon
0x01ff07,bright green
0x35063e,dark purple
0xae7181,mauve
0x06470c,forest green
0x13eac9,aqua
0x00ffff,cyan
0xd1b26f,tan
0x00035b,dark blue
0xc79fef,lavender
0x06c2ac,turquoise
0x033500,dark green
0x9a0eea,violet
0xbf77f6,light purple
0x89fe05,lime green
0x929591,grey
0x75bbfd,sky blue
0xffff14,yellow
0xc20078,magenta
0x96f97b,light green
0xf97306,orange
0x029386,teal
0x95d0fc,light blue
0xe50000,red
0x653700,brown
0xff81c0,pink
0x0343df,blue
0x15b01a,green
0x7e1e9c,purple
